Unnamed: 0,coordinates,date,hashtags,language,source,text,user,Category
31,,Wed Feb 13 17:33:06 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @freepress: Last week, three Republicans in the House introduced three fake Net Neutrality bills that would destroy the open internet. W…",suna_snackey,politics
32,,Wed Feb 13 17:31:03 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @didikins4life: Sen. Cory Gardner (R-CO) is an opponent of the Obama-era FCC policies on net neutrality, referring to the regulations as…",Apples4Grannies,politics
33,,Wed Feb 13 17:28:48 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @didikins4life: Sen. Cory Gardner (R-CO) is an opponent of the Obama-era FCC policies on net neutrality, referring to the regulations as…",didikins4life,politics
34,,Wed Feb 13 17:28:42 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sen. Cory Gardner (R-CO) is an opponent of the Obama-era FCC policies on net neutrality, referring to the regulatio… https://t.co/jl8VdjvC93",didikins4life,politics
35,,Wed Feb 13 17:28:08 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @WGXC: Tune in ""Radio Survivor"" at 3 p.m. today @WGXC 90.7-FM to find out about how Net Neutrality is Back in Court Again @radiosurvivor…",ChristopherTerr,politics
36,,Wed Feb 13 17:27:05 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @cIaiborne: This adderall got me ready to singlehandedly save net neutrality,sco6pio,politics
37,,Wed Feb 13 17:27:00 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @cIaiborne: This adderall got me ready to singlehandedly save net neutrality,brute_force69,politics
38,,Wed Feb 13 17:24:45 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","like I’m not opposed but hear me out what if we could just double down on net neutrality 

(not mad as a stopgap wh… https://t.co/8wnAW0JTxy",LaurelLehman,politics
39,,Wed Feb 13 17:24:17 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @cIaiborne: This adderall got me ready to singlehandedly save net neutrality,jesse15264805,politics
40,,Wed Feb 13 17:24:11 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @skewb40: Net neutrality was abolished in the US. Who's to say the same won't  happen to the internet as we know it? That's why I fear a…,hybridlati,politics
41,,Wed Feb 13 17:23:24 +0000 2019,[],en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @WGXC: Tune in ""Radio Survivor"" at 3 p.m. today @WGXC 90.7-FM to find out about how Net Neutrality is Back in Court Again @radiosurvivor…",mediageek,politics
42,,Wed Feb 13 17:23:20 +0000 2019,[],en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @WGXC: Tune in ""Radio Survivor"" at 3 p.m. today @WGXC 90.7-FM to find out about how Net Neutrality is Back in Court Again @radiosurvivor…",RadioSurvivor,politics
43,,Wed Feb 13 17:20:25 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Net Neutrality Gets HUGE Boost In Federal Court! https://t.co/6TBtAdU7fb via @YouTube,nancyas7,politics
44,,Wed Feb 13 17:20:24 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @cIaiborne: This adderall got me ready to singlehandedly save net neutrality,AbbeyCoopman,politics
45,,Wed Feb 13 17:20:22 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Lilobri: Does my browser's recent inability to handle Twitter ""energy"" reflect Century Link taking advantage of FCC's destruction of ne…",janeface15,politics
46,,Wed Feb 13 17:20:02 +0000 2019,[],en,"<a href=""https://twitter.com/davidson83249"" rel=""nofollow"">FreedomBot (prototype)</a>","Without Net Neutrality rules, Major ISPs can jam Torrent sites. So much for being a pirate.",davidson83249,politics
47,,Wed Feb 13 17:18:26 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@arstechnica Maybe just have net neutrality ?,chlodulfmaximi1,politics
48,,Wed Feb 13 17:13:10 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@AP If net neutrality or tax cuts didn’t kill you yet, this could be the ticket",MLFresh,politics
49,,Wed Feb 13 17:12:49 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @cIaiborne: This adderall got me ready to singlehandedly save net neutrality,KyleRanAMile,politics
50,,Tue Feb 12 22:15:27 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is one of the great paradoxical hypocrisies of modern India - on one hand the argument is that people convert… https://t.co/HSjXxmfmvl,HindolSengupta,politics
51,,Tue Feb 12 20:13:07 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",When you combine unqualified affirmative action engineers and workers with crazy environmental regulations and a sw… https://t.co/NKgWja0bGl,ramzpaul,politics
52,,Wed Feb 13 01:56:12 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",He is hand in glove with bigoted proselytisers. Convert promising an end to caste discrimination. Then ask for affi… https://t.co/7r1oHXzTKR,ramprasad_c,politics
53,,Wed Feb 13 17:34:35 +0000 2019,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @HindolSengupta: This is one of the great paradoxical hypocrisies of modern India - on one hand the argument is that people convert from…,SaintOrSinner30,politics
54,,Wed Feb 13 17:34:33 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @KristenClarkeJD: 🚨ALERT: We're in court today in Boston in a case challenging affirmative action at Harvard.

Our closing argument will…",PierParty,politics
55,,Wed Feb 13 17:34:20 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @NBCNews: A federal judge is scheduled to hear a final round of arguments in a lawsuit that says Harvard Univ. discriminates against Asi…,xhertx,politics
56,,Wed Feb 13 17:33:23 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @HindolSengupta: This is one of the great paradoxical hypocrisies of modern India - on one hand the argument is that people convert from…,RanjithDharmic,politics
57,,Wed Feb 13 17:32:23 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @HindolSengupta: This is one of the great paradoxical hypocrisies of modern India - on one hand the argument is that people convert from…,YasharthGenxt,politics
58,,Wed Feb 13 17:32:04 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @HindolSengupta: This is one of the great paradoxical hypocrisies of modern India - on one hand the argument is that people convert from…,Mayu_mahesh9,politics
59,,Wed Feb 13 17:31:57 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @masspolitica: @GeraldoRivera @Ilhan @RashidaTlaib Why are you so “happy” about the ethnicity or gender of a person in a professional ca…,SavedSoul1990,politics
60,,Wed Feb 13 17:31:47 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @AltydBewus: @AnnikaLarsen1 @eNCA Critical Skills Loss... Almost sounds like the Affirmative Action everyone supported. What happens now…,GertHanekom,politics
61,,Wed Feb 13 17:31:18 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Even IF you lived in a universe in which affirmative action 'hurt' Asian Americans, AND you didn't care that a 'rac… https://t.co/imWrWbKN1s",rastew18,politics
62,,Wed Feb 13 17:30:28 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Dclantis: The destruction of BEE and Affirmative Action should be the first step the new government should consider on the road to Sout…,SandyEnsure,politics
63,,Wed Feb 13 17:30:21 +0000 2019,[],en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Check out this amazing resource - a syllabus on affirmative action! Thank you for you work on this @spamfriedrice!… https://t.co/gAg14cyhOA,APALAnational,politics
64,,Wed Feb 13 17:29:38 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @HindolSengupta: This is one of the great paradoxical hypocrisies of modern India - on one hand the argument is that people convert from…,Parthap92593918,politics
65,,Wed Feb 13 17:28:52 +0000 2019,[],en,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>",RT @NBCNews: A federal judge is scheduled to hear a final round of arguments in a lawsuit that says Harvard Univ. discriminates against Asi…,KCWY13,politics
66,,Wed Feb 13 17:28:49 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @HindolSengupta: This is one of the great paradoxical hypocrisies of modern India - on one hand the argument is that people convert from…,avinash_mailme,politics
67,,Wed Feb 13 17:28:26 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @HindolSengupta: This is one of the great paradoxical hypocrisies of modern India - on one hand the argument is that people convert from…,manipatel555,politics
68,,Wed Feb 13 17:27:42 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @HindolSengupta: This is one of the great paradoxical hypocrisies of modern India - on one hand the argument is that people convert from…,vps_sng,politics
69,,Wed Feb 13 17:27:10 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @qlgn_: Anyone who agrees w her do me a favor and educate yourself on affirmative action.

The goal is to attract/retain minorities that…",siemorse,politics
70,,Wed Feb 13 17:26:13 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @HindolSengupta: This is one of the great paradoxical hypocrisies of modern India - on one hand the argument is that people convert from…,ramvachaspati,politics
71,,Wed Feb 13 17:25:36 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @HindolSengupta: This is one of the great paradoxical hypocrisies of modern India - on one hand the argument is that people convert from…,Shaunak_singh,politics
72,,Wed Feb 13 17:25:14 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @yuvrajjoshi: Today are the closing arguments in Students for Fair Admissions (SFFA) v. Harvard. I write in @Slate about what the case m…,epopppp,politics
73,,Wed Feb 13 17:24:52 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Michael Park has been behind almost all of the recent attempts to dismantle affirmative action because it ""illegall… https://t.co/Bk8jPkdVNI",rastew18,politics
74,,Wed Feb 13 17:24:44 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @NBCNews: A federal judge is scheduled to hear a final round of arguments in a lawsuit that says Harvard Univ. discriminates against Asi…,DexterC73,politics
75,,Mon Feb 11 04:17:24 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Fact:

80% of those who were forced to pay up to $2,085 dollars by Obamacare’s individual mandate were making under… https://t.co/IXWaMmtwob",charliekirk11,politics
76,,Wed Feb 13 13:28:42 +0000 2019,[],en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","For today's hearing on Dem bills to reverse Trump's attacks on the ACA, I dove into the wonky legal debate over whe… https://t.co/hG09LpMQ4Z",dylanlscott,politics
77,,Wed Feb 06 03:02:20 +0000 2019,[],en,"<a href=""http://www.snapstream.com"" rel=""nofollow"">SnapStream TV Search</a>","SOTU Fact Check: ""We eliminated the very unpopular Obamacare individual mandate penalty,"" Trump said.

That's true.… https://t.co/WS0fHWiUj0",politico,politics
78,,Wed Feb 13 17:33:11 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",.@Georgetown Katie Keith: Short-term plans exacerbate many of the out-of-pocket costs that everyone at this hearing… https://t.co/khjaDSxRP5,DonnaYoungDC,politics
79,,Wed Feb 13 17:31:22 +0000 2019,"[{'text': 'BlueWave', 'indices': [67, 76]}, {'text': 'ACA', 'indices': [77, 81]}, {'text': 'Obamacare', 'indices': [82, 92]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@JohnBlecka @dscc @dccc @realDonaldTrump Hope voters never forget. #BlueWave #ACA #Obamacare,rjoseph7777,politics
80,,Wed Feb 13 17:30:44 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@gracemarietweet: States are so much better able to fine-tune funding to the needs of citizens.
[and when they don… https://t.co/AZFODZGzGf",DonnaYoungDC,politics
81,,Wed Feb 13 17:15:38 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",.@RepLarryBucshon tries to make the argument that short-term plans don't discriminate against people w/… https://t.co/SUmdrnvVSC,DonnaYoungDC,politics
82,,Wed Feb 13 17:12:58 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @charliekirk11: Fact:

80% of those who were forced to pay up to $2,085 dollars by Obamacare’s individual mandate were making under $50,…",the_tomholland,politics
83,,Wed Feb 13 17:12:52 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@Georgetown Katie Keith: Every analysis, including Trump admin's own analysis, found that expansion of short-term… https://t.co/Bva2Axriyc",DonnaYoungDC,politics
84,,Wed Feb 13 17:11:41 +0000 2019,"[{'text': 'ACA', 'indices': [126, 130]}]",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @rjoseph7777: Top House Republican Admits Taking Healthcare Away From People Was A Really Bad Idea https://t.co/MdzS6Ctg35 #ACA #Obamaca…,JohnBlecka,politics
85,,Wed Feb 13 17:09:13 +0000 2019,"[{'text': 'ACA', 'indices': [120, 124]}, {'text': 'Obamacare', 'indices': [125, 135]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@CongressmanRuiz: One thing I've learned as an emergency physician is not every healthy person stays healthy forever.

#ACA #Obamacare",DonnaYoungDC,politics
86,,Wed Feb 13 17:07:59 +0000 2019,"[{'text': 'Obamacare', 'indices': [13, 23]}, {'text': 'ACA', 'indices': [49, 53]}]",en,"<a href=""http://obamacarefacts.com/"" rel=""nofollow"">ACABot</a>",THIS JUST IN #Obamacare is the same thing as the #ACA.,aca_realtalk,politics
87,,Wed Feb 13 17:05:46 +0000 2019,"[{'text': 'ACA', 'indices': [37, 41]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@gracemarietweet argues cutting the #ACA navigator/advertising funds was not sabotage. 
""When the ACA was new, peo… https://t.co/0Q5K8hsYdP",DonnaYoungDC,politics
88,,Wed Feb 13 17:04:13 +0000 2019,"[{'text': 'ACA', 'indices': [109, 113]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Top House Republican Admits Taking Healthcare Away From People Was A Really Bad Idea https://t.co/MdzS6Ctg35 #ACA… https://t.co/jz1ndcqpto,rjoseph7777,politics
89,,Wed Feb 13 17:02:37 +0000 2019,[],en,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Are you looking for an alternative to ACA/Obamacare Health Insurance for protection for you &amp; your family?

Due to… https://t.co/KxqOvE08XD",Jake9664413,politics
90,,Wed Feb 13 17:02:20 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@gracemarietweet argues not all short-term plans are not junk plans.
But then she warns ""Buyer beware. People need… https://t.co/i8CHCGpewb",DonnaYoungDC,politics
91,,Wed Feb 13 17:00:23 +0000 2019,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @charliekirk11: Fact:

80% of those who were forced to pay up to $2,085 dollars by Obamacare’s individual mandate were making under $50,…",connerdezoro,politics
92,,Wed Feb 13 17:00:05 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @DonnaYoungDC: Roses are red. 
Violets are blue. 
The @EnergyCommerce Health Subcommittee hearing is now underway
Led by @RepAnnaEshoo…",MassMedical,politics
93,,Wed Feb 13 16:59:00 +0000 2019,"[{'text': 'ACA', 'indices': [96, 100]}, {'text': 'Obamacare', 'indices': [101, 111]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@RepSchrader: The goal of health care is to provide better health. It's not to get insurance.

#ACA #Obamacare",DonnaYoungDC,politics
94,,Wed Feb 13 16:57:39 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @charliekirk11: Fact:

80% of those who were forced to pay up to $2,085 dollars by Obamacare’s individual mandate were making under $50,…",mtatools70,politics
95,,Wed Feb 13 16:55:59 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @DonnaYoungDC: Roses are red. 
Violets are blue. 
The @EnergyCommerce Health Subcommittee hearing is now underway
Led by @RepAnnaEshoo…",christymaginn,politics
96,,Wed Feb 13 16:55:43 +0000 2019,"[{'text': 'healthcare', 'indices': [108, 119]}, {'text': 'healthcare4all', 'indices': [120, 135]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @themyscira_blog: The Trump Healthcare Plan and Wealth Management Bill of 2019

https://t.co/v8gNbWPnwy

#healthcare #healthcare4all #Ob…",themyscira_blog,politics
97,,Wed Feb 13 16:55:40 +0000 2019,"[{'text': 'ACA', 'indices': [102, 106]}, {'text': 'Obamacare', 'indices': [107, 117]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@PAInsuranceDept Jessica Altman: There's no question that rates have gone up in individual market. 

#ACA #Obamacare",DonnaYoungDC,politics
98,,Wed Feb 13 16:53:17 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@repgregwalden calls for a hearing on association health plans &amp; ""I do think we have a right to talk about them he… https://t.co/qflIhRT7za",DonnaYoungDC,politics
