Unnamed: 0,coordinates,date,hashtags,language,source,text,user,Category
11,,Wed Feb 06 04:24:20 +0000 2019,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @robertdunlap947: U.N. Official Admits Global Warming Agenda Is Really About Destroying Capitalism🖕. For all you dumb a$$ sheeple that t…,Hope_ZeroKelvin,activism
12,,Wed Feb 06 04:24:19 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Roads: slushy 
Below freezing: rain
Global: warming
Mid: west
Yee: haw",macypaull,activism
13,,Wed Feb 06 04:24:14 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @robertdunlap947: U.N. Official Admits Global Warming Agenda Is Really About Destroying Capitalism🖕. For all you dumb a$$ sheeple that t…,mskaahn,activism
14,,Wed Feb 06 04:24:08 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @floridaguy267: The left is concerned about the unborn children when discussing Global Warming, but don't care about them when talking a…",watson1_z,activism
15,,Wed Feb 06 04:24:07 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I love people who don’t believe in global warming and then post shit like this on facebook, like um hello it’s feb… https://t.co/ZhlSEwaLzi",toriadowney,activism
16,,Wed Feb 06 04:24:00 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @RoyPentland: Anthropogenic Global Warming - ""A Horror Story, not a Bedtime Story"". 
WHY CLIMATE ALARMISM IS A HOAX

https://t.co/ciGK3v…",RoyPentland,activism
17,,Wed Feb 06 04:23:56 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Gngerbrdgrl: U.N. Official Admits Global Warming Agenda Is Really About Destroying Capitalism | Zero Hedge https://t.co/7lApTpnsUB,JDumfordPhD,activism
18,,Wed Feb 06 04:23:55 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lol! 😂 Blah Blah Blah Blah, BORING!! I only heard Georgia &amp; Global Warming. 🤷‍♀️ https://t.co/PjQ8jhJeOL",Aliciastarr001,activism
19,,Wed Feb 06 04:23:53 +0000 2019,"[{'text': 'SOTU', 'indices': [39, 44]}]",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @NRDC: We searched Trump’s prepared #SOTU text and there is not a single mention of…

Environment
Climate change
Global warming
Global w…",jazzbossinks,activism
20,,Wed Feb 06 04:23:53 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @robertdunlap947: U.N. Official Admits Global Warming Agenda Is Really About Destroying Capitalism🖕. For all you dumb a$$ sheeple that t…,Bean556Seeds,activism
21,,Wed Feb 06 04:23:53 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @samstein: Remember last week when Trump joked that we could use some global warming. hahaha. 

It’s 70 degrees in DC right now.",sandercohen,activism
22,,Wed Feb 06 04:23:50 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@MRobertsQLD @SonRockSons @Newsource21 ARE YOU SAYING THAT CSIRO DOES NOT SEE ANY DANGER IN GLOBAL WARMING? OR ARE… https://t.co/zuQ1hArSRn,666MillSY666,activism
23,,Wed Feb 06 04:23:49 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @bananabillll: Me trying to stop global warming by eating beyond burgers https://t.co/zJgJSukCh8,sassemojii,activism
24,,Wed Feb 06 04:23:48 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @robertdunlap947: U.N. Official Admits Global Warming Agenda Is Really About Destroying Capitalism🖕. For all you dumb a$$ sheeple that t…,denibelan,activism
25,,Mon Feb 04 22:00:16 +0000 2019,"[{'text': 'Indigenous', 'indices': [0, 11]}]",en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",#Indigenous people protect 80% of global biodiversity. Their right to land is vital for conservation &amp; fulfilling t… https://t.co/XIdPvICJKo,UNDP,activism
26,,Mon Feb 04 20:00:25 +0000 2019,[],en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","Biodiversity is declining at an alarming rate, but it's not too late to act. @NRDC is joining @NatGeo, @nature_org… https://t.co/sbdZ56Sjx0",NRDC,activism
27,,Tue Feb 05 16:16:34 +0000 2019,"[{'text': 'KewOrchids', 'indices': [92, 103]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Adorned with 6,200 orchids, The Princess of Wales Conservatory has been transformed for the #KewOrchids Festival. S… https://t.co/CvBQ2V8Isj",kewgardens,activism
28,,Wed Feb 06 04:24:14 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @kyliesoanes: Sooo excited to be heading to @VicBioCon tomorrow to listen to two full days of awesome biodiversity and conservation scie…,VicBioCon,activism
29,,Wed Feb 06 04:23:24 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The Sunderbans with its spatial gradient in salinity,  it's remarkable ecosystem services and biodiversity includin… https://t.co/5RWL72GQCC",JagdishKrishna8,activism
30,,Wed Feb 06 04:17:33 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @amabirdman: For the sake of the biodiversity and environment, this government has to go! https://t.co/WtZMNKt32K",NicheBrain,activism
31,,Wed Feb 06 04:16:35 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @AidaGreenbury: Mangroves are key for our survival. Via @mongabay https://t.co/I19cC378Ln It supports biodiversity on land and ocean. It…,AidaGreenbury,activism
32,,Wed Feb 06 04:16:23 +0000 2019,"[{'text': 'conservation', 'indices': [119, 132]}]",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @CaseyRichart: I'll be speaking at this year's The State of Biodiversity Symposium at @SDNHM. I'm talking about the #conservation of sho…,bredmondjones,activism
33,,Wed Feb 06 04:16:16 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Greenpeace: Here are some reasons to be cheerful about biodiversity, and also some cute bears. 
https://t.co/yHbTsRO0rI",RinuBabuM,activism
34,,Wed Feb 06 04:15:02 +0000 2019,"[{'text': 'biodiversity', 'indices': [109, 122]}, {'text': 'conservation', 'indices': [123, 136]}]",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @JRSBiodiversity: JRS would love to be your co-funder! We’re happy to be a partner or a minor funder in a #biodiversity #conservation pr…,africaddis,activism
35,,Wed Feb 06 04:13:46 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","For the sake of the biodiversity and environment, this government has to go! https://t.co/WtZMNKt32K",amabirdman,activism
36,,Wed Feb 06 04:12:03 +0000 2019,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @dw_environment: Locals living beside the enormous marshland near Colombia's Rio Magdalena river have seen the unqiue biodiversity shrin…,AllRightsForAll,activism
37,,Wed Feb 06 04:11:01 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Nate_G_Swenson: Oof. ""Overall, our results suggest that all studies conducted since the early 1990s are likely to have overestimated th…",wetland_GHG,activism
38,,Wed Feb 06 04:08:14 +0000 2019,"[{'text': 'biodiversity', 'indices': [28, 41]}, {'text': 'cop21', 'indices': [42, 48]}]",en,"<a href=""http://www.climatebabes.com"" rel=""nofollow"">climatebabes</a>",Let life be the solution!   #biodiversity #cop21 more climatebabes : https://t.co/pOtPVCdowd https://t.co/ZmYGh0Rdem,climatebabes,activism
39,,Wed Feb 06 04:08:04 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @KirstenRowell: This is a fantastic conference.  Please consider applying to present your work, or just attending! https://t.co/a82G8hF1…",abeborker,activism
40,,Wed Feb 06 04:08:01 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @CropTrust: ""I dare to say sustainable food systems cannot be achieved unless we go back to the building blocks of agriculture - agricul…",rajvarshney,activism
41,,Wed Feb 06 04:05:27 +0000 2019,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @DeepSeaConserve: Q: Could the @UN wait at least 5 yrs until we have the frameworks of biodiversity and scientific understanding before…,ShannonLHampton,activism
42,,Wed Feb 06 04:03:40 +0000 2019,"[{'text': 'biodiversity', 'indices': [109, 122]}, {'text': 'conservation', 'indices': [123, 136]}]",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @JRSBiodiversity: JRS would love to be your co-funder! We’re happy to be a partner or a minor funder in a #biodiversity #conservation pr…,UPEcology,activism
43,,Wed Feb 06 04:03:11 +0000 2019,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @action4ifaw: When animals are removed from the ecosystem, the natural world suffers. For the health of our planet, we must protect land…",TerryKaramanos,activism
44,,Wed Feb 06 04:02:46 +0000 2019,"[{'text': 'LunarNewYear', 'indices': [41, 54]}]",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @CristianaPascaP: As we celebrate the #LunarNewYear, I want to say how excited I am for @UNBiodiversity COP15 in Beijing in 2020. Lookin…",UNCCD,activism
45,,Wed Feb 06 04:01:37 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Biodiversity conservation.. https://t.co/8to96ZZnA9,Yanomufasa,activism
46,,Wed Feb 06 04:01:22 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@_TimMcCormack @JanMcDonaldTas Thank you! I did wonder whether, if @JanMcDonaldTas was there this morning too, we c… https://t.co/GNH8lMfuQR",DrPhilMcCormack,activism
47,,Wed Feb 06 03:56:15 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @brugerard1: Minimizing the negative consequences of agriculture on biodiversity is key for sustainable intensification, but it is rarel…",Hugocastellano5,activism
48,,Wed Feb 06 03:54:57 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Sooo excited to be heading to @VicBioCon tomorrow to listen to two full days of awesome biodiversity and conservati… https://t.co/YkrHwbAiH6,kyliesoanes,activism
49,,Wed Feb 06 03:52:20 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @CSIROPublishing: ""Wetlands not only support unique and remarkable wetland biodiversity, they also serve as critical support systems for…",Birds_Central,activism
50,,Wed Feb 06 02:52:57 +0000 2019,"[{'text': 'SOTU', 'indices': [29, 34]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","We searched Trump’s prepared #SOTU text and there is not a single mention of…

Environment
Climate change
Global wa… https://t.co/1hI6w3Wqg7",NRDC,activism
51,,Mon Feb 04 17:28:35 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","4.2 million people died of outdoor air pollution in 2016. 

We need cleaner transport NOW to protect 
Human health… https://t.co/KGzrcxuYhP",UNEnvironment,activism
52,,Mon Feb 04 15:18:21 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","""Something is here killing us."" 

Deadly chemical pollution is plaguing this low-income Black community, where the… https://t.co/sFeZvC6WAv",ajplus,activism
53,,Wed Feb 06 04:24:45 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @thecrisismag: ""Something is here killing us."" 

Deadly chemical pollution is plaguing this low-income Black community, where the cancer…",Nyeshuh,activism
54,,Wed Feb 06 04:24:44 +0000 2019,"[{'text': 'SOTU', 'indices': [39, 44]}]",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @NRDC: We searched Trump’s prepared #SOTU text and there is not a single mention of…

Environment
Climate change
Global warming
Global w…",AFireSign_,activism
55,,Wed Feb 06 04:24:43 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @WalkersWizKids: Lots of animals are endangered, but some of the most common are the Bengal Tiger, Sea Turtle, and African Wild Dog. You…",goddamn_BigWill,activism
56,,Wed Feb 06 04:24:42 +0000 2019,"[{'text': 'climatechange', 'indices': [57, 71]}, {'text': 'cleanenergy', 'indices': [87, 99]}]",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @LCVoters: .@realDonaldTrump hasn’t said a word about #climatechange, advancing our #cleanenergy economy, or supporting communities of c…",umoxizixown,activism
57,,Wed Feb 06 04:24:36 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @krassenstein: BREAKING:  NY Attorney General Letitia James, has just sued Trump's EPA for failing to regulate Interstate smog pollution…",mellowedat53,activism
58,,Wed Feb 06 04:24:26 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @Nitz_007: @KayMBellandur @BellandurJothge @BBMP_MAYOR @BBMPCOMM @bwssbdirector @bwssbchairman @Kar_Gov_24X7 @csogok https://t.co/6yebdW…,iprakash,activism
59,,Wed Feb 06 04:24:26 +0000 2019,"[{'text': 'SOTU', 'indices': [39, 44]}]",en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @NRDC: We searched Trump’s prepared #SOTU text and there is not a single mention of…

Environment
Climate change
Global warming
Global w…",Pyewackett406,activism
60,,Wed Feb 06 04:24:24 +0000 2019,"[{'text': 'Solution30', 'indices': [32, 43]}, {'text': 'Escrocs', 'indices': [44, 52]}, {'text': 'TransitionEnergetique', 'indices': [83, 105]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Jour 125  tic tac tic tac  🤢💩👎  #Solution30 #Escrocs @LinkyMonRefus @CompteurLinky #TransitionEnergetique… https://t.co/dVg8GYWKUg,Tieph38,activism
61,,Wed Feb 06 04:24:10 +0000 2019,"[{'text': 'climatechange', 'indices': [57, 71]}, {'text': 'cleanenergy', 'indices': [87, 99]}]",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @LCVoters: .@realDonaldTrump hasn’t said a word about #climatechange, advancing our #cleanenergy economy, or supporting communities of c…",JordanKrsnak,activism
62,,Wed Feb 06 04:24:04 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@SunshineTheGrey @DaztheDruid @Greenpeace We have become consumer serfs that support their nightmare with both our… https://t.co/YJpQZ1r2fI,mikestuartani,activism
63,,Wed Feb 06 04:24:00 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @krassenstein: BREAKING:  NY Attorney General Letitia James, has just sued Trump's EPA for failing to regulate Interstate smog pollution…",bludiaperbaby,activism
64,,Wed Feb 06 04:23:55 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Hyundai What's worse? Having someone hit you with their Hyundai. Having someone endanger your life by parking ille… https://t.co/eEvTUmnLL7,belleoflonglake,activism
65,,Wed Feb 06 04:23:53 +0000 2019,"[{'text': 'KherkiDaulaToll', 'indices': [21, 37]}]",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @contactpksharma: #KherkiDaulaToll hatao. Vote Pao.
People are dying from pollution and govt is sleeping.
@cmohry @mlkhattar @RaoNarbir…",SavitaV62906785,activism
66,,Wed Feb 06 04:23:53 +0000 2019,"[{'text': 'SOTU', 'indices': [39, 44]}]",en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @NRDC: We searched Trump’s prepared #SOTU text and there is not a single mention of…

Environment
Climate change
Global warming
Global w…",jazzbossinks,activism
67,,Wed Feb 06 04:23:44 +0000 2019,"[{'text': 'Chemicals', 'indices': [63, 73]}, {'text': 'Military', 'indices': [111, 120]}]",en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @smartdissent: NEW: Trump's @EPA Refuses to Limit Two Toxic #Chemicals in Drinking Water, Particularly Near #Military Bases https://t.co…",lindat191,activism
68,,Wed Feb 06 04:23:27 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @WalkersWizKids: Lots of animals are endangered, but some of the most common are the Bengal Tiger, Sea Turtle, and African Wild Dog. You…",savvaaannnaah,activism
69,,Wed Feb 06 04:23:21 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @krassenstein: BREAKING:  NY Attorney General Letitia James, has just sued Trump's EPA for failing to regulate Interstate smog pollution…",yvonneb3,activism
70,,Wed Feb 06 04:23:13 +0000 2019,"[{'text': 'Pollution', 'indices': [47, 57]}]",en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @smartdissent: NEW: Trump's @EPA Encourages #Pollution By Nearly Eliminating Penalties for Polluters https://t.co/hSAHKelouS #SmartDisse…,ClaudiaWolfgang,activism
71,,Wed Feb 06 04:23:09 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @thecrisismag: ""Something is here killing us."" 

Deadly chemical pollution is plaguing this low-income Black community, where the cancer…",citybvt,activism
72,,Wed Feb 06 04:23:08 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @WalkersWizKids: Lots of animals are endangered, but some of the most common are the Bengal Tiger, Sea Turtle, and African Wild Dog. You…",caitnwalton,activism
73,,Wed Feb 06 04:23:03 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @thecrisismag: ""Something is here killing us."" 

Deadly chemical pollution is plaguing this low-income Black community, where the cancer…",ExTeenageRobot,activism
74,,Wed Feb 06 04:22:57 +0000 2019,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@dhaessel0 @craigthomler @ubikkgoat @ITDarkTiaLight @weatherman769 @Carbongate @SalvajeUnitario @ILuvCO2… https://t.co/OuF0BogWkP,Tokyo_Tom,activism
75,,Tue Feb 05 18:45:26 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MAMA!!!!!! Happy Birthday Queen of Queens Gloria Marie James!!! Love Love Love everyday all day on the earth and be… https://t.co/moOXOaaxLz,KingJames,activism
76,,Tue Feb 05 15:23:22 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I believe that every person on earth is capable of the greatest good, or unspeakable evil. 

Liam is just describin… https://t.co/IbLorokZ4N",terrycrews,activism
77,,Mon Feb 04 16:23:08 +0000 2019,"[{'text': 'UAE', 'indices': [115, 119]}, {'text': 'ApostolicJourney', 'indices': [120, 137]}]",en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","God is with those who seek peace. From heaven He blesses every step which, on this path, is accomplished on earth. #UAE #ApostolicJourney",Pontifex,activism
78,,Wed Feb 06 04:24:54 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @RATorreydaily: The cruelest man on earth is the man who believes the stern things we are told in the Word of God about the future penal…,PraiseOpen,activism
79,,Wed Feb 06 04:24:54 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ItsJustJill: My first election was voting for the great RONALD REAGAN. 
This is the greatest SOTU ever. 
In memory of my father who lib…",keltcat,activism
80,,Wed Feb 06 04:24:53 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Chelsea_Related: Say what you want about David Luiz, but he is so humble and down to Earth. An example for many professionals.

This vi…",David2103cf,activism
81,,Wed Feb 06 04:24:53 +0000 2019,[],en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @seanmdav: “In the beginning, God created the heavens and the earth...and God called the expanse Heaven.” Genesis 1:1,8

“Thus says the…",tyramommy,activism
82,,Wed Feb 06 04:24:53 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @_boylino: This is when he realized his work on earth is done😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 https://t.co/ADNZhNe2Ir,_yourgirlA,activism
83,,Wed Feb 06 04:24:52 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @seanmdav: “In the beginning, God created the heavens and the earth...and God called the expanse Heaven.” Genesis 1:1,8

“Thus says the…",Awhatdafudge,activism
84,,Wed Feb 06 04:24:52 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ItsJustJill: My first election was voting for the great RONALD REAGAN. 
This is the greatest SOTU ever. 
In memory of my father who lib…",rakri99,activism
85,,Wed Feb 06 04:24:51 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ItsJustJill: My first election was voting for the great RONALD REAGAN. 
This is the greatest SOTU ever. 
In memory of my father who lib…",stopsonabank,activism
86,,Wed Feb 06 04:24:51 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",there is no place on earth like Boston,Nic_WithoutaK,activism
87,,Wed Feb 06 04:24:51 +0000 2019,"[{'text': 'animals', 'indices': [131, 139]}]",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ToShawnAnderson: This guy was just lying in the sun when a cow walked right up to him and did the sweetest thing 💙 

RT @dodo

#animals…",zen4freedom,activism
88,,Wed Feb 06 04:24:50 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","While I’m late to the party, I must say that I absolutely adored @nkjemisin’s “Broken Earth” trilogy. Beautiful wor… https://t.co/muDwfSFnLQ",wbruce,activism
89,,Wed Feb 06 04:24:50 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DirtyDean: Wow I guess i find it interesting that girls say they want someone ""down to earth"" but only wanna date someone over 6 ft. I'…",DirtyDean,activism
90,,Wed Feb 06 04:24:49 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SSWorks: Trump ""forgot"" to discuss the international embarrassment of the US being the only country on earth not to guarantee health ca…",Fried_Kimchi,activism
91,,Wed Feb 06 04:24:49 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@GeneWillis @KaceyMusgraves, finally receiving the accolades she deserves as a female songwriter and musician but i… https://t.co/DY9FblvHM3",ManicMinxy,activism
92,,Wed Feb 06 04:24:49 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @jbabyDB: Me enjoying the weather even tho I know the earth dying https://t.co/izMNu9wIEp,Jayla_shakur,activism
93,,Wed Feb 06 04:24:49 +0000 2019,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @segalink: People whose first instinct is to smile when they make eye contact with you are some of Earth’s treasures that MUST be protec…,dynamicbobby,activism
94,,Wed Feb 06 04:24:48 +0000 2019,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @moxieraia: Earth is so beautiful,alexuesv,activism
